, InsertionSort, Quicksort, Shellsort
10, 5300, 11300, 5000
20, 11400, 22100, 9200
40, 32500, 47500, 22100
80, 124700, 671700, 468100
160, 403200, 192700, 128200
320, 1640700, 199000, 205700
640, 2063500, 124400, 575700
1280, 2824300, 209100, 1289600
2560, 4957700, 665400, 2203600
5120, 6148300, 711800, 2048800
