, InsertionSort, Quicksort, Shellsort
10, 34, 30, 33
20, 134, 74, 95
40, 455, 294, 270
80, 1727, 706, 712
160, 6171, 1300, 1824
320, 25684, 3336, 4397
640, 100060, 7912, 12624
1280, 416211, 14006, 29357
2560, 1606140, 35968, 86204
5120, 6566801, 73598, 230970
